actiontype,actiondate,treeid,supervisordistrict,addressno,altdescription,legalstatus,ownername,siteorder,locsite,sitetype,planttype,scientificname,commonname,treephoto,x,y,lat,long,point,:@computed_region_jwn9_ihcz,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md
Posted 24hr,2022-12-03T00:00:00.000,269586,10,555,23rd St  :  Start: 100-699 Block  -  Illinois St,Undocumented,Private,3,"Sidewalk, Curb side",Cutout,Tree,Arbutus 'Marina',Hybrid Strawberry Tree,{'url': 'http://bsm.sfdpw.org/treephotos/269586/mobilePic1670100343383.jpg'},6016722,2102848,37.75557489414609,-122.3849988456939,"{'type': 'Point', 'coordinates': [-122.385, 37.7556]}",56,56,2,9,26
Posted 30 Day,2017-09-13T00:00:00.000,200509,10,5999,03rd St  :  Donner Ave  -  Egbert Ave,DPW Maintained,Private,2,"Sidewalk, Curb side",Cutout,Tree,Lophostemon confertus,Brisbane Box,{'url': 'http://bsm.sfdpw.org/treephotos/200509/mobilePic1633720649229.jpg'},6013721.597,2091689.1509,37.72432452447905,-122.39470025332854,"{'type': 'Point', 'coordinates': [-122.395, 37.7243]}",86,86,2,9,1
Posted 15 Day,2022-02-02T00:00:00.000,27103,11,639,Silver Ave  :  Madison St  -  Gambier St,DPW Maintained,DPW,1,"Sidewalk, Curb side",Cutout,Tree,Morus alba,White Mulberry,{'url': 'http://bsm.sfdpw.org/treephotos/27103/mobilePic1643820068780.jpg'},6005568.41512,2093570.66729,37.72879111715715,-122.42320294041906,"{'type': 'Point', 'coordinates': [-122.423, 37.7288]}",92,92,9,2,7
Posted 15 Day,2022-04-12T00:00:00.000,245265,8,367,27th St  :  Church St  -  Sanchez St,Permitted Site,Private,1,"Sidewalk, Curb side",Cutout,Empty,Stump,Stump,{'url': 'http://bsm.sfdpw.org/treephotos/245265/mobilePic1649796822041.jpg'},6004173.64984,2100117.18902,37.74682974542457,-122.42808073043449,"{'type': 'Point', 'coordinates': [-122.428, 37.7468]}",84,84,9,5,22
Posted 15 Day,2018-08-23T00:00:00.000,196929,6,667,Natoma St  :  07th St  -  08th St,DPW Maintained,Private,7,"Sidewalk, Curb side",Cutout,Tree,Pyrus calleryana,Ornamental Pear,{'url': 'http://bsm.sfdpw.org/treephotos/196929/mobilePic1535057163930.jpg'},6009257.63424,2111076.4541,37.777538626335186,-122.41104811018249,"{'type': 'Point', 'coordinates': [-122.411, 37.7775]}",32,32,1,10,34
Posted 15 Day,2018-08-16T00:00:00.000,195376,6,101,Spear St  :  Mission St  -  Howard St,DPW Maintained,Private,10,"Sidewalk, Curb side",Cutout,Tree,Platanus x hispanica,"Sycamore, London Plane",{'url': 'http://bsm.sfdpw.org/treephotos/195376/mobilePic1534441133479.jpg'},6014582.98624,2116443.08611,37.79192408285763,-122.39329211724841,"{'type': 'Point', 'coordinates': [-122.393, 37.7919]}",108,108,1,10,8
Posted 15 Day,2024-06-24T00:00:00.000,114426,1,486,32nd Ave  :  Clement St  -  Geary Blvd,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Stump,Stump,{'url': 'http://bsm.sfdpw.org/treephotos/114426-302091.jpg'},5985968.50007,2112632.43388,37.78071178909203,-122.49230372147149,"{'type': 'Point', 'coordinates': [-122.492, 37.7807]}",8,8,8,4,29
Posted 15 Day,2020-01-06T00:00:00.000,190900,10,2,George Ct  :  Ingalls St  -  End: 01-42 Block,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Corymbia maculata,Spotted Gum,{'url': 'http://bsm.sfdpw.org/treephotos/190900-236074.jpg'},6017068,2094316,37.73085816701994,-122.3826624572546,"{'type': 'Point', 'coordinates': [-122.383, 37.7309]}",86,86,2,9,1
Posted 30 Day,2022-02-07T00:00:00.000,208969,7,30,Yerba Buena Ave  :  Santa Clara Ave  -  Santa Paula Ave,Significant Tree,Private,1,"Sidewalk, Curb side",Yard,Tree,Tree(s),,{'url': 'http://bsm.sfdpw.org/treephotos/208969/mobilePic1644269079323.jpg'},5993545.78483,2097101.19005,37.73775178646406,-122.46449593033032,"{'type': 'Point', 'coordinates': [-122.464, 37.7378]}",116,116,10,8,41
Posted 15 Day,2023-06-05T00:00:00.000,204627,7,1901,Monterey Blvd  :  San Leandro Way  -  San Fernando Way,DPW Maintained,Private,3,"Sidewalk, Curb side",Yard,Tree,Callistemon viminalis,Weeping Bottlebrush,{'url': 'http://bsm.sfdpw.org/treephotos/204627/mobilePic1685484746778.jpg'},5992327.28359,2095380.5803,37.73311537419508,-122.46911858175713,"{'type': 'Point', 'coordinates': [-122.469, 37.7331]}",63,63,10,8,41
Posted 15 Day,2017-10-25T00:00:00.000,175063,9,14,University St  :  Sweeny St  -  Silver Ave,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Stump (use Grinder),Stump (use Grinder),{'url': 'http://bsm.sfdpw.org/treephotos/175063-300613.jpg'},6007701.39295,2094021.24058,37.72991078660879,-122.41548689527119,"{'type': 'Point', 'coordinates': [-122.415, 37.7299]}",91,91,2,2,25
Posted 30 Day,2018-07-16T00:00:00.000,230884,8,55,Bemis St  :  Miguel St  -  Addison St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Maytenus boaria,Mayten,{'url': 'http://bsm.sfdpw.org/treephotos/230884/mobilePic1531772990181.jpg'},6003777.15337,2096859.90493,37.73807467412972,-122.42911093202416,"{'type': 'Point', 'coordinates': [-122.429, 37.7381]}",59,59,9,5,10
Posted 24hr,2024-02-21T00:00:00.000,232931,8,1526,Sanchez St  :  28th St  -  Valley St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Stump,Stump,{'url': 'http://bsm.sfdpw.org/treephotos/232931/mobilePic1708528748221.jpg'},6003928.50412,2099360.47268,37.744764299771745,-122.42899807256214,"{'type': 'Point', 'coordinates': [-122.429, 37.7448]}",84,84,9,5,22
Posted 15 Day,2022-08-14T00:00:00.000,97593,5,661,Divisadero St  :  Hayes St  -  Grove St,DPW Maintained,FUF,2,"Sidewalk, Curb side",Cutout,Tree,Acer buergeranum,Trident Maple,{'url': 'http://bsm.sfdpw.org/treephotos/97593/mobilePic1660518364514.jpg'},6001569.9782,2110730.4395,37.77545406262071,-122.43794730388832,"{'type': 'Point', 'coordinates': [-122.438, 37.7755]}",24,24,4,11,9
Posted 15 Day,2018-10-01T00:00:00.000,125047,,3101,Van Ness Ave  :  North Point St  -  End:  Block,DPW Maintained,Private,8,"Sidewalk, Curb side",Cutout,Abandoned,Paved Over,Paved Over,{'url': 'http://bsm.sfdpw.org/treephotos/125047/mobilePic1610142291047.jpg'},6005418.05896,2121421.58215,37.80551051786357,-122.42549148963921,"{'type': 'Point', 'coordinates': [-122.425, 37.8055]}",98,98,6,6,32
Posted 15 Day,2018-05-11T00:00:00.000,62826,11,170,Ocean Ave  :  Wanda St  -  Otsego Ave,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Abandoned,Planting site (pave),Planting Site (pave),{'url': 'http://bsm.sfdpw.org/treephotos/62826/mobilePic1526490170499.jpg'},6000498.41934,2091715.94048,37.72344118084187,-122.44045420742222,"{'type': 'Point', 'coordinates': [-122.44, 37.7234]}",80,80,9,1,28
Posted 30 Day,2021-10-18T00:00:00.000,32023,2,2700,Pacific Ave  :  Scott St  -  Divisadero St,DPW Maintained,Private,2,"Sidewalk, Curb side",Cutout,Tree,Tree(s),,{'url': 'http://bsm.sfdpw.org/treephotos/32023/mobilePic1634070537093.jpg'},6001158.18036,2116931.31755,37.79261669006856,-122.44049937395013,"{'type': 'Point', 'coordinates': [-122.44, 37.7926]}",102,102,4,6,30
Posted 15 Day,2018-05-17T00:00:00.000,46622,10,1601,Lane St  :  Quesada Ave  -  Revere Ave,DPW Maintained,FUF,4,"Sidewalk, Curb side",Cutout,Tree,Ceanothus 'Ray Hartman',California Lilac 'Ray Hartman',{'url': 'http://bsm.sfdpw.org/treephotos/46622/mobilePic1698867028925.jpg'},6015162.1856,2094456.1663,37.73197643708358,-122.38988250142049,"{'type': 'Point', 'coordinates': [-122.39, 37.732]}",86,86,2,9,1
