actiontype,actiondate,treeid,supervisordistrict,addressno,altdescription,legalstatus,ownername,siteorder,locsite,sitetype,planttype,scientificname,commonname,treephoto,x,y,lat,long,point,:@computed_region_jwn9_ihcz,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md
Posted 15 Day,2019-09-06T00:00:00.000,212500,7,51,Sotelo Ave  :  Santa Rita Ave  -  Unnamed #034,DPW Maintained,Private,6,"Sidewalk, Curb side",Yard,Tree,Tree(s),,{'url': 'http://bsm.sfdpw.org/treephotos/212500/mobilePic1567802875916.jpg'},5993879,2101255,37.74908780765974,-122.46386611556483,"{'type': 'Point', 'coordinates': [-122.464, 37.7491]}",45,45,10,8,41
Posted 30 Day,2022-11-16T00:00:00.000,3879,8,5,Castro St  :  Divisadero St  -  Lloyd St,DPW Maintained,DPW,1,"Sidewalk, Curb side",Cutout,Tree,Maytenus boaria,Mayten,{'url': 'http://bsm.sfdpw.org/treephotos/3879/mobilePic1668629833972.jpg'},6001986.3803,2108685.97385,37.77009509120062,-122.4364812122696,"{'type': 'Point', 'coordinates': [-122.436, 37.7701]}",28,28,7,5,3
Posted 24hr,2023-11-17T00:00:00.000,240930,8,4621,19th St  :  Clover Ln  -  Yukon St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Stump (use Grinder),Stump (use Grinder),{'url': 'http://bsm.sfdpw.org/treephotos/240930/mobilePic1700234139621.jpg'},6000546.64601,2104633.37076,37.75897448089978,-122.44160466232779,"{'type': 'Point', 'coordinates': [-122.442, 37.759]}",115,115,3,5,5
Posted 15 Day,2018-02-13T00:00:00.000,196543,10,975,De Haro St  :  Southern Heights Ave  -  22nd St,DPW Maintained,DPW,2,"Sidewalk, Curb side",Cutout,Tree,Jacaranda mimosifolia,Jacaranda,{'url': 'http://bsm.sfdpw.org/treephotos/196543/mobilePic1518565297835.jpg'},6012204.60388,2103877.56611,37.757658408365316,-122.40091465653688,"{'type': 'Point', 'coordinates': [-122.401, 37.7577]}",54,54,2,9,26
Posted 15 Day,2018-05-24T00:00:00.000,138138,5,1790,Laguna St  :  Sutter St  -  Bush St,DPW Maintained,DPW,2,"Sidewalk, Curb side",Cutout,Tree,Prunus subhirtella 'Pendula',Weeping Cherry,{'url': 'http://bsm.sfdpw.org/treephotos/138138/mobilePic1527193881937.jpg'},6004446.7568,2114931.3952,37.78718159514427,-122.42843031124329,"{'type': 'Point', 'coordinates': [-122.428, 37.7872]}",101,101,4,11,30
Posted 15 Day,2022-05-03T08:59:13.000,106060,11,12,Canyon Dr  :  South Hill Blvd  -  County Line,DPW Maintained,DPW,3,Median,Yard,Tree,Calocedrus decurrens,Incense Cedar,{'url': 'http://bsm.sfdpw.org/treephotos/106060/mobilePic1651096932694.jpg'},6003183.55845,2086355.52394,37.70901226491934,-122.43105354588191,"{'type': 'Point', 'coordinates': [-122.431, 37.709]}",58,58,9,1,7
Posted 30 Day,2017-09-29T00:00:00.000,10484,5,1668,Haight St  :  Belvedere St  -  Cole St,DPW Maintained,DPW,1,"Sidewalk, Curb side",Cutout,Tree,Acacia melanoxylon,Blackwood Acacia,{'url': 'http://bsm.sfdpw.org/treephotos/10484-207897.jpg'},5998167.2674,2108607.159,37.769625393551,-122.44993106601956,"{'type': 'Point', 'coordinates': [-122.45, 37.7696]}",25,25,7,11,3
Posted 30 Day,2019-01-31T00:00:00.000,103460,5,666,Octavia St  :  Birch St  -  Fulton St,DPW Maintained,Private,3,"Sidewalk, Curb side",Cutout,Tree,Lyonothamnus floribundus subsp. asplenifolius,Santa Cruz Ironwood,{'url': 'http://bsm.sfdpw.org/treephotos/103460/mobilePic1653419551496.jpg'},6005392.6099,2111621.0092,37.77830488407818,-122.42495104339669,"{'type': 'Point', 'coordinates': [-122.425, 37.7783]}",22,22,4,11,9
Posted 24hr,2020-07-23T00:00:00.000,239858,9,95,Montezuma St  :  Coso Ave  -  Shotwell St,DPW Maintained,Private,2,"Sidewalk, Curb side",Cutout,Empty,Planting site (plant),Planting Site (plant),{'url': 'http://bsm.sfdpw.org/treephotos/239858/mobilePic1595531117836.jpg'},6007964,2099815,37.745962856830225,-122.41632852007392,"{'type': 'Point', 'coordinates': [-122.416, 37.746]}",83,83,9,2,2
Posted 24hr,2024-06-11T00:00:00.000,140353,,1314,Ellis St  :  Quickstep Ln  -  Inca Ln,DPW Maintained,Private,7,"Sidewalk, Curb side",Cutout,Tree,Acacia melanoxylon,Blackwood Acacia,{'url': 'http://bsm.sfdpw.org/treephotos/140353/mobilePic1718124651708.jpg'},6004369.7293,2113285.9953,37.78288351174735,-122.42838270836528,"{'type': 'Point', 'coordinates': [-122.428, 37.7829]}",97,97,4,11,39
Posted 15 Day,2019-04-01T00:00:00.000,131754,2,1690,Broadway  :  Van Ness Ave  -  Franklin St,DPW Maintained,Private,5,"Sidewalk, Curb side",Cutout,Tree,Myoporum laetum,Myoporum,{'url': 'http://bsm.sfdpw.org/treephotos/131754/mobilePic1554145424094.jpg'},6005523.75542,2117889.55451,37.79563183229922,-122.42423518147402,"{'type': 'Point', 'coordinates': [-122.424, 37.7956]}",102,102,4,6,30
Posted 30 Day,2019-03-04T00:00:00.000,55316,10,1125,Goettingen St  :  Ward St  -  Harkness Ave,DPW Maintained,DPW,1,"Sidewalk, Curb side",Cutout,Tree,Ficus microcarpa,Chinese Banyan,{'url': 'http://bsm.sfdpw.org/treephotos/55316/mobilePic1581625477602.jpg'},6011314.64048,2089535.2445,37.71785939158435,-122.40282395583976,"{'type': 'Point', 'coordinates': [-122.403, 37.7179]}",75,75,9,9,40
Posted 15 Day,2018-08-15T00:00:00.000,143204,3,1960,Grant Ave  :  Pfeiffer St  -  Francisco St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Planting site (plant),Planting Site (plant),{'url': 'http://bsm.sfdpw.org/treephotos/143204/mobilePic1597952340041.jpg'},6010358.5927,2121168.7241,37.805067548399265,-122.40847417640856,"{'type': 'Point', 'coordinates': [-122.408, 37.8051]}",18,18,6,3,23
Posted 15 Day,2019-07-30T00:00:00.000,259754,8,4041,Cesar Chavez St  :  Sanchez St  -  Noe St,DPW Maintained,DPW,1,"Sidewalk, Curb side",Cutout,Tree,Ulmus parvifolia,Chinese Elm,{'url': 'http://bsm.sfdpw.org/treephotos/259754/mobilePic1564517239591.jpg'},6003639.19109,2100382.47433,37.74749927728226,-122.43037328062172,"{'type': 'Point', 'coordinates': [-122.43, 37.7475]}",84,84,3,5,22
Posted 24hr,2019-10-10T00:00:00.000,210792,7,2354,18th Ave  :  Santiago St  -  Taraval St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Olea europaea,Olive Tree,{'url': 'http://bsm.sfdpw.org/treephotos/210792/mobilePic1570739381835.jpg'},5990771.84317,2099357.19056,37.74403030931609,-122.47468881157393,"{'type': 'Point', 'coordinates': [-122.475, 37.744]}",44,44,10,8,41
Posted 15 Day,2018-10-01T00:00:00.000,13148,2,1839,Lombard St  :  Laguna St  -  Buchanan St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Lophostemon confertus,Brisbane Box,{'url': 'http://bsm.sfdpw.org/treephotos/13148-197802.jpg'},6003562.8454,2119623.2596,37.80030202283707,-122.43192957981199,"{'type': 'Point', 'coordinates': [-122.432, 37.8003]}",15,15,4,6,13
Posted 30 Day,2020-09-23T00:00:00.000,205880,7,40,Mendosa Ave  :  09th Ave  -  10th Ave,DPW Maintained,Private,1,"Sidewalk, Property side",Cutout,Empty,Planting site,Planting Site,{'url': 'http://bsm.sfdpw.org/treephotos/205880-276469.jpg'},5993348.04769,2101170.42115,37.74859273690099,-122.4656848674629,"{'type': 'Point', 'coordinates': [-122.466, 37.7486]}",45,45,10,8,41
Posted 24hr,2021-02-12T00:00:00.000,227437,8,332,Eureka St  :  20th St  -  21st St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Ligustrum lucidum,Glossy Privet,{'url': 'http://bsm.sfdpw.org/treephotos/227437/mobilePic1613164559518.jpg'},6001454.7523,2103830.24347,37.75669169941961,-122.43788123378836,"{'type': 'Point', 'coordinates': [-122.438, 37.7567]}",115,115,3,5,5
Posted 30 Day,2019-08-09T00:00:00.000,7201,5,949,Fillmore St  :  Fulton St  -  McAllister St,DPW Maintained,DPW,8,"Sidewalk, Curb side",Cutout,Tree,Ficus retusa nitida,Banyan Fig,{'url': 'http://bsm.sfdpw.org/treephotos/7201/mobilePic1603391051490.jpg'},6003424.6737,2111504.3754,37.778165967538015,-122.43166893067774,"{'type': 'Point', 'coordinates': [-122.432, 37.7782]}",23,23,4,11,39
Posted 15 Day,2018-08-24T00:00:00.000,188718,6,614,Minna St  :  07th St  -  Julia St,DPW Maintained,Private,2,"Sidewalk, Curb side",Cutout,Tree,Acacia melanoxylon,Blackwood Acacia,{'url': 'http://bsm.sfdpw.org/treephotos/188718/mobilePic1535135525640.jpg'},6009528.36406,2111634.33045,37.7782022468013,-122.41113586489175,"{'type': 'Point', 'coordinates': [-122.411, 37.7782]}",32,32,1,10,34
Posted 30 Day,2020-07-24T00:00:00.000,14323,8,2207,Market St  :  Sanchez St  -  16th St,DPW Maintained,DPW,1,"Sidewalk, Curb side",Cutout,Tree,Platanus x hispanica,"Sycamore, London Plane",{'url': 'http://bsm.sfdpw.org/treephotos/14323/mobilePic1595614877998.jpg'},6003442.7894,2106938.9673,37.764985912018446,-122.43199225582667,"{'type': 'Point', 'coordinates': [-122.432, 37.765]}",38,38,3,5,5
Posted 15 Day,2020-02-06T00:00:00.000,124020,1,382,Funston Ave  :  Clement St  -  Geary Blvd,DPW Maintained,Private,2,"Sidewalk, Curb side",Cutout,Tree,Pittosporum crassifolium,Karo Tree,{'url': 'http://bsm.sfdpw.org/treephotos/124020/mobilePic1581019395037.jpg'},5991887.97334,2112886.36372,37.78163864530497,-122.47184524460789,"{'type': 'Point', 'coordinates': [-122.472, 37.7816]}",5,5,8,4,11
Posted 30 Day,2018-07-06T00:00:00.000,37950,10,609,Connecticut St  :  20th St  -  22nd St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Eucalyptus polyanthemos,Silver Dollar Eucalyptus,{'url': 'http://bsm.sfdpw.org/treephotos/37950/mobilePic1530899438808.jpg'},6013298.71774,2104246.1656,37.75869239279723,-122.39712607680623,"{'type': 'Point', 'coordinates': [-122.397, 37.7587]}",54,54,2,9,26
Posted 24hr,2020-09-01T00:00:00.000,206684,7,647,Los Palmos Dr  :  Burlwood Dr  -  Hazelwood Ave,DPW Maintained,Private,3,"Sidewalk, Curb side",Cutout,Tree,Crataegus laevigata,English Hawthorn,{'url': 'http://bsm.sfdpw.org/treephotos/206684/mobilePic1598987361572.jpg'},5996011.49185,2096001.54035,37.73504250525539,-122.45662803881227,"{'type': 'Point', 'coordinates': [-122.457, 37.735]}",117,117,9,8,41
Posted 30 Day,2019-06-05T00:00:00.000,140080,2,102,Saint Josephs Ave  :  Eddy St  -  Ellis St,DPW Maintained,Private,2,"Sidewalk, Curb side",Cutout,Tree,Populus nigra 'Italica',Lombardy Poplar,{'url': 'http://bsm.sfdpw.org/treephotos/140080/mobilePic1567715144063.jpg'},6000726.8608,2112462.5832,37.780764089638446,-122.4412441726316,"{'type': 'Point', 'coordinates': [-122.441, 37.7808]}",13,13,7,6,39
Posted 30 Day,2018-02-01T00:00:00.000,219620,8,3415,22nd St  :  Guerrero St  -  Ames St,DPW Maintained,Private,4,"Sidewalk, Curb side",Cutout,Tree,Planting site (plant),Planting Site (plant),{'url': 'http://bsm.sfdpw.org/treephotos/219620/mobilePic1517513957373.jpg'},6005614.49431,2103120.07374,37.75515314410388,-122.42346909452033,"{'type': 'Point', 'coordinates': [-122.423, 37.7552]}",52,52,3,5,20
Posted 15 Day,2018-12-11T00:00:00.000,231572,9,3291,Harrison St  :  Precita Ave  -  Norwich St,DPW Maintained,Private,2,"Sidewalk, Curb side",Cutout,Tree,Maytenus boaria,Mayten,{'url': 'http://bsm.sfdpw.org/treephotos/231572/mobilePic1544557353040.jpg'},6009050.01708,2099539.09698,37.746060132159585,-122.41153070710237,"{'type': 'Point', 'coordinates': [-122.412, 37.7461]}",83,83,9,2,2
Posted 15 Day,2017-11-22T00:00:00.000,129445,3,24,Priest St  :  Start: 01-99 Block  -  Washington St,DPW Maintained,Private,21,"Sidewalk, Curb side",Cutout,Tree,Laurus nobilis,"Sweet Bay, Grecian Laurel",{'url': 'http://bsm.sfdpw.org/treephotos/129445/mobilePic1511372645514.jpg'},6008315.59279,2117230.60537,37.79359940385467,-122.41513082494967,"{'type': 'Point', 'coordinates': [-122.415, 37.7936]}",16,16,6,3,21
Posted 30 Day,2018-05-11T00:00:00.000,10211,9,1311,Guerrero St  :  25th St  -  26th St,DPW Maintained,DPW,1,"Sidewalk, Curb side",Cutout,Tree,Prunus serrulata,Ornamental Cherry,{'url': 'http://bsm.sfdpw.org/treephotos/10211/mobilePic1526071638329.jpg'},6005852.92273,2101311.29856,37.74957466644731,-122.42259917565802,"{'type': 'Point', 'coordinates': [-122.423, 37.7496]}",52,52,3,5,20
Posted 15 Day,2023-08-24T00:00:00.000,90268,1,4004,Balboa St  :  41st Ave  -  42nd Ave,DPW Maintained,DPW,3,"Sidewalk, Curb side",Cutout,Tree,Planting site (plant),Planting Site (plant),{'url': 'http://bsm.sfdpw.org/treephotos/90268/mobilePic1691533124258.jpg'},5983120.60775,2111056.26558,37.775495252059855,-122.50213442970541,"{'type': 'Point', 'coordinates': [-122.502, 37.7755]}",8,8,8,4,29
Posted 15 Day,2018-06-21T00:00:00.000,47651,10,363,Arkansas St  :  18th St  -  19th St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Crataegus phaenopyrum,Washington Hawthorn,{'url': 'http://bsm.sfdpw.org/treephotos/47651/mobilePic1529610670602.jpg'},6012960.30928,2105372.99833,37.76182344459079,-122.39839970267775,"{'type': 'Point', 'coordinates': [-122.398, 37.7618]}",54,54,2,9,26
Posted 30 Day,2023-12-18T00:00:00.000,190194,6,60,Spear St  :  Market St  -  Mission St,DPW Maintained,Private,3,"Sidewalk, Curb side",Cutout,Tree,Ficus microcarpa nitida 'Green Gem',Indian Laurel Fig Tree 'Green Gem',{'url': 'http://bsm.sfdpw.org/treephotos/190194/mobilePic1717786400803.jpg'},6014325.66257,2116622.06556,37.793145876766566,-122.39482158269881,"{'type': 'Point', 'coordinates': [-122.395, 37.7931]}",108,108,6,10,8
Posted 15 Day,2019-09-11T00:00:00.000,260511,7,199,Stratford Dr  :  Wyton Ln  -  Holloway Ave,Undocumented,Private,1,"Sidewalk, Property side",Cutout,Tree,Prunus cerasifera,Cherry Plum,{'url': 'http://bsm.sfdpw.org/treephotos/260511/mobilePic1568240849578.jpg'},5990954,2091213,37.72219487470224,-122.4735569527541,"{'type': 'Point', 'coordinates': [-122.474, 37.7222]}",41,41,10,8,41
Posted 24hr,2022-08-14T00:00:00.000,108872,5,1317,Grove St  :  Divisadero St  -  Broderick St,DPW Maintained,FUF,1,"Sidewalk, Curb side",Cutout,Tree,Eriobotrya deflexa,Bronze Loquat,{'url': 'http://bsm.sfdpw.org/treephotos/108872/mobilePic1660518973721.jpg'},6001507.20104,2110761.06824,37.77581948760833,-122.43882317700839,"{'type': 'Point', 'coordinates': [-122.439, 37.7758]}",24,24,7,11,9
Posted 24hr,2024-01-11T00:00:00.000,140300,5,144,Cole St  :  Grove St  -  Hayes St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Prunus cerasifera,Cherry Plum,{'url': 'http://bsm.sfdpw.org/treephotos/140300/mobilePic1713912452588.jpg'},5997825.8983,2110052.4968,37.77378217577826,-122.45106852614343,"{'type': 'Point', 'coordinates': [-122.451, 37.7738]}",24,24,7,11,18
Posted 24hr,2021-11-05T00:00:00.000,6052,5,1900,Eddy St  :  Divisadero St  -  Broderick St,DPW Maintained,FUF,2,"Sidewalk, Curb side",Cutout,Tree,Tristaniopsis laurina,Swamp Myrtle,{'url': 'http://bsm.sfdpw.org/treephotos/6052/mobilePic1636141152155.jpg'},6001270.4508,2112511.2313,37.78048059332438,-122.43975803792358,"{'type': 'Point', 'coordinates': [-122.44, 37.7805]}",13,13,7,11,39
Posted 15 Day,2018-08-06T00:00:00.000,242584,8,625,Elizabeth St  :  Castro St  -  Diamond St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Ulmus parvifolia,Chinese Elm,{'url': 'http://bsm.sfdpw.org/treephotos/242584/mobilePic1533588566747.jpg'},6002335.29217,2102062.95715,37.7520262146556,-122.43526982704532,"{'type': 'Point', 'coordinates': [-122.435, 37.752]}",84,84,3,5,22
Posted 15 Day,2019-11-04T00:00:00.000,129846,3,485,Pacific Ave  :  Osgood Pl  -  Montgomery St,DPW Maintained,Private,2,"Sidewalk, Curb side",Cutout,Tree,Liriodendron tulipifera,Tulip Tree,{'url': 'http://bsm.sfdpw.org/treephotos/129846/mobilePic1572897608205.jpg'},6011762.70539,2118367.67112,37.797347280380684,-122.40328123882517,"{'type': 'Point', 'coordinates': [-122.403, 37.7973]}",106,106,6,3,6
Posted 24hr,2023-08-26T00:00:00.000,34698,1,715,45th Ave  :  Balboa St  -  Cabrillo St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Planting site (pave),Planting Site (pave),{'url': 'http://bsm.sfdpw.org/treephotos/34698/mobilePic1712958421539.jpg'},5981951.23217,2110867.89053,37.77438992512124,-122.50581564135858,"{'type': 'Point', 'coordinates': [-122.506, 37.7744]}",8,8,8,4,29
Posted 15 Day,2019-05-08T00:00:00.000,122929,2,158,10th Ave  :  Lake St  -  California St,DPW Maintained,FUF,1,"Sidewalk, Curb side",Cutout,Tree,Cassia leptophylla,Gold Medallion Tree,{'url': 'http://bsm.sfdpw.org/treephotos/122929/mobilePic1557355962998.jpg'},5992757.96109,2114418.38695,37.78555173225893,-122.46890721601423,"{'type': 'Point', 'coordinates': [-122.469, 37.7856]}",5,5,8,4,11
Posted 30 Day,2020-03-30T00:00:00.000,67753,3,900,Kearny St  :  Jackson St  -  Columbus Ave,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Ficus retusa nitida,Banyan Fig,{'url': 'http://bsm.sfdpw.org/treephotos/67753/mobilePic1585588369802.jpg'},6011258.7412,2118020.5233,37.79655999225737,-122.40521568657464,"{'type': 'Point', 'coordinates': [-122.405, 37.7966]}",106,106,6,3,6
Posted 30 Day,2018-08-07T00:00:00.000,231740,8,4385,26th St  :  Diamond St  -  Douglass St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Maytenus boaria,Mayten,{'url': 'http://bsm.sfdpw.org/treephotos/231740/mobilePic1533673041453.jpg'},6001418.84126,2100551.68121,37.74789756156693,-122.43707780590027,"{'type': 'Point', 'coordinates': [-122.437, 37.7479]}",84,84,3,5,22
Posted 30 Day,2018-09-18T00:00:00.000,499,9,2751,24th St  :  Hampshire St  -  York St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Ficus nitida,Laurel Fig,{'url': 'http://bsm.sfdpw.org/treephotos/499/mobilePic1537305553920.jpg'},6010232.5569,2102206.4482,37.752879495182206,-122.40774007523957,"{'type': 'Point', 'coordinates': [-122.408, 37.7529]}",53,53,3,2,20
Posted 24hr,2021-06-08T00:00:00.000,236420,5,125,Belgrave Ave  :  Shrader St  -  Stanyan St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Abandoned,Planting site (pave),Planting Site (pave),{'url': 'http://bsm.sfdpw.org/treephotos/236420/mobilePic1623190500543.jpg'},5997920.6891,2104887.77316,37.75954160195854,-122.4503840241551,"{'type': 'Point', 'coordinates': [-122.45, 37.7595]}",114,114,7,11,14
Posted 15 Day,2018-02-21T00:00:00.000,227546,8,4281,24th St  :  Diamond St  -  Douglass St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Lagunaria patersonii,Primrose Tree,{'url': 'http://bsm.sfdpw.org/treephotos/227546/mobilePic1519254878489.jpg'},6001381.67551,2101715.76186,37.751088462737,-122.4373862563301,"{'type': 'Point', 'coordinates': [-122.437, 37.7511]}",84,84,3,5,22
Posted 15 Day,2019-05-30T00:00:00.000,142110,1,46,Hemway Ter  :  Fulton St  -  End: 01-99 Block,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Empty,Planting site (plant),Planting Site (plant),{'url': 'http://bsm.sfdpw.org/treephotos/142110/mobilePic1644869561664.jpg'},5998632.5001,2111014.2101,37.77600779777463,-122.44823504698486,"{'type': 'Point', 'coordinates': [-122.448, 37.776]}",12,12,7,4,18
Posted 30 Day,2022-10-05T00:00:00.000,242757,8,194,Corbett Ave  :  Hattie St  -  Corbin Pl,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Ulmus parvifolia,Chinese Elm,{'url': 'http://bsm.sfdpw.org/treephotos/242757/mobilePic1664994378043.jpg'},6000172.55508,2105676.75236,37.76167439927029,-122.44196034465028,"{'type': 'Point', 'coordinates': [-122.442, 37.7617]}",115,115,7,5,5
Posted 24hr,2021-03-05T00:00:00.000,24901,10,2895,San Bruno Ave  :  Wayland St  -  Woolsey St,DPW Maintained,DPW,3,"Sidewalk, Curb side",Cutout,Tree,Stump (use Grinder),Stump (use Grinder),{'url': 'http://bsm.sfdpw.org/treephotos/24901/mobilePic1614975969067.jpg'},6011438.8335,2092223.5829,37.72583427005279,-122.40285135719564,"{'type': 'Point', 'coordinates': [-122.403, 37.7258]}",91,91,2,2,25
Posted 30 Day,2018-06-05T00:00:00.000,219008,11,171,Miramar Ave  :  Grafton Ave  -  Holloway Ave,DPW Maintained,Private,2,"Sidewalk, Curb side",Cutout,Tree,Geijera parviflora,Australian Willow,{'url': 'http://bsm.sfdpw.org/treephotos/219008/mobilePic1528228298505.jpg'},5995303,2091035,37.720933727156705,-122.45818044981971,"{'type': 'Point', 'coordinates': [-122.458, 37.7209]}",64,64,10,1,24
Posted 24hr,2021-01-15T00:00:00.000,37987,10,613,Texas St  :  20th St  -  Sierra St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Jacaranda mimosifolia,Jacaranda,{'url': 'http://bsm.sfdpw.org/treephotos/37987/mobilePic1610744225785.jpg'},6013866.01576,2104192.39502,37.75921817209013,-122.39523315926833,"{'type': 'Point', 'coordinates': [-122.395, 37.7592]}",54,54,2,9,26
Posted 15 Day,2018-05-18T00:00:00.000,187731,10,84,Whitney Young Cir  :  Bass Ct  -  Newcomb Ave,DPW Maintained,Private,6,"Sidewalk, Curb side",Cutout,Tree,Acacia melanoxylon,Blackwood Acacia,{'url': 'http://bsm.sfdpw.org/treephotos/187731/mobilePic1526677270142.jpg'},6016728.56547,2095062.09483,37.73361258118582,-122.3846380834964,"{'type': 'Point', 'coordinates': [-122.385, 37.7336]}",86,86,2,9,1
Posted 15 Day,2020-11-10T00:00:00.000,182345,4,1522,26th Ave  :  Kirkham St  -  Lawton St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Tristaniopsis laurina,Swamp Myrtle,{'url': 'http://bsm.sfdpw.org/treephotos/182345/mobilePic1604442914868.jpg'},5988118,2104920,37.7585688766,-122.48429982135103,"{'type': 'Point', 'coordinates': [-122.484, 37.7586]}",39,39,10,7,35
Posted 24hr,2022-01-21T00:00:00.000,267057,6,68,Harriet St  :  Howard St  -  Folsom St,DPW Maintained,DPW,1,"Sidewalk, Curb side",Cutout,Tree,Tree,Tree,{'url': 'http://bsm.sfdpw.org/treephotos/267057-266151.jpg'},6010649,2111509,37.778700410075835,-122.40692074731018,"{'type': 'Point', 'coordinates': [-122.407, 37.7787]}",32,32,1,10,34
Posted 30 Day,2018-09-18T00:00:00.000,600,9,3078,24th St  :  Lucky St  -  Folsom St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Ficus microcarpa,Chinese Banyan,{'url': 'http://bsm.sfdpw.org/treephotos/600/mobilePic1537303765388.jpg'},6008460.582,2102146.28241,37.752521961971865,-122.41380159697314,"{'type': 'Point', 'coordinates': [-122.414, 37.7525]}",53,53,3,2,20
Posted 15 Day,2017-09-27T00:00:00.000,116179,6,94,Natoma St  :  01st St  -  02nd St,DPW Maintained,Private,3,"Sidewalk, Curb side",Cutout,Tree,Pittosporum undulatum,Victorian Box,{'url': 'http://bsm.sfdpw.org/treephotos/116179/mobilePic1525117957170.jpg'},6013036.36382,2114723.48466,37.78808622255071,-122.39768396944305,"{'type': 'Point', 'coordinates': [-122.398, 37.7881]}",32,32,1,10,8
Posted 24hr,2024-02-02T00:00:00.000,245341,8,3835,22nd St  :  Noe St  -  Castro St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Syagrus romanzoffianum,Queen Palm,{'url': 'http://bsm.sfdpw.org/treephotos/245341/mobilePic1706889696458.jpg'},6002854.83533,2102969.76577,37.75456082969432,-122.43328581360895,"{'type': 'Point', 'coordinates': [-122.433, 37.7546]}",115,115,3,5,22
Posted 24hr,2020-10-28T00:00:00.000,188715,6,221,Main St  :  Howard St  -  Folsom St,DPW Maintained,Private,5,"Sidewalk, Curb side",Cutout,Tree,Acacia melanoxylon,Blackwood Acacia,{'url': 'http://bsm.sfdpw.org/treephotos/188715/mobilePic1661283248169.jpg'},6014787.2921,2115709.23152,37.78999095770045,-122.39263310840118,"{'type': 'Point', 'coordinates': [-122.393, 37.79]}",108,108,1,10,8
Posted 24hr,2022-01-28T00:00:00.000,137715,5,1717,McAllister St  :  Broderick St  -  Baker St,DPW Maintained,Private,2,"Sidewalk, Curb side",Cutout,Empty,Planting site (plant),Planting Site (plant),{'url': 'http://bsm.sfdpw.org/treephotos/137715/mobilePic1643407078741.jpg'},6000872.1127,2111362.8361,37.777480015200396,-122.44085255884755,"{'type': 'Point', 'coordinates': [-122.441, 37.7775]}",97,97,7,11,39
Posted 30 Day,2018-04-20T00:00:00.000,255239,10,851,Minnesota St  :  20th St  -  22nd St,DPW Maintained,Private,9,"Sidewalk, Curb side",Cutout,Abandoned,Paved Over,Paved Over,{'url': 'http://bsm.sfdpw.org/treephotos/255239/mobilePic1524259630894.jpg'},6015252.45033,2104672.28083,37.75912509003233,-122.39033216628704,"{'type': 'Point', 'coordinates': [-122.39, 37.7591]}",55,55,2,9,26
Posted 15 Day,2019-08-21T00:00:00.000,205071,7,751,Junipero Serra Blvd  :  Winston Dr  -  Estero Ave,DPW Maintained,Private,4,"Sidewalk, Curb side",Yard,Tree,Arbutus 'Marina',Hybrid Strawberry Tree,{'url': 'http://bsm.sfdpw.org/treephotos/205071/mobilePic1601580887770.jpg'},5991360.74468,2092152.37392,37.725289563769465,-122.47204498137317,"{'type': 'Point', 'coordinates': [-122.472, 37.7253]}",67,67,10,8,41
Posted 15 Day,2017-10-27T00:00:00.000,126190,3,1490,Sacramento St  :  Kimball Pl  -  Hyde St,DPW Maintained,Private,2,"Sidewalk, Curb side",Cutout,Tree,Corymbia ficifolia,Red Flowering Gum,{'url': 'http://bsm.sfdpw.org/treephotos/126190/mobilePic1509130142625.jpg'},6007676.57843,2116519.48391,37.792005273642104,-122.41693643608004,"{'type': 'Point', 'coordinates': [-122.417, 37.792]}",16,16,6,3,21
Posted 30 Day,2023-05-15T00:00:00.000,246092,5,700,Stanyan St  :  Haight St  -  Waller St,DPW Maintained,Private,9,"Sidewalk, Curb side",Cutout,Tree,Ficus retusa nitida,Banyan Fig,{'url': 'http://bsm.sfdpw.org/treephotos/246092/mobilePic1683147661547.jpg'},5997091.8262,2108330.4431,37.768705611537705,-122.45344458114148,"{'type': 'Point', 'coordinates': [-122.453, 37.7687]}",25,25,7,11,3
